x,y
-24.0,-14190.242155586608
-23.8,-12061.337851553457
-23.6,-14347.825256207443
-23.400000000000002,-12820.109666104488
-23.200000000000003,-7650.515886370769
-23.000000000000004,-14374.866636514294
-22.800000000000004,-12737.339722640643
-22.600000000000005,-11989.41697341736
-22.400000000000006,-12670.803191344246
-22.200000000000006,-7426.485495137747
-22.000000000000007,-9449.513052865297
-21.800000000000008,-8032.951189793007
-21.60000000000001,-5611.511487148399
-21.40000000000001,-11712.491586269762
-21.20000000000001,-10755.6857017088
-21.00000000000001,-10389.311823224742
-20.80000000000001,-10807.499377909997
-20.600000000000012,-10519.449600842287
-20.400000000000013,-7725.21546766595
-20.200000000000014,-5312.395150960467
-20.000000000000014,-7687.183349537714
-19.800000000000015,-10416.077603015721
-19.600000000000016,-8878.58492828833
-19.400000000000016,-7121.854135564011
-19.200000000000017,-5515.267511499222
-19.000000000000018,-4132.128881874013
-18.80000000000002,-9527.51219213487
-18.60000000000002,-9033.512902780585
-18.40000000000002,-4559.424507539299
-18.20000000000002,-6584.535635170955
-18.00000000000002,-6899.59347486224
-17.800000000000022,-4500.178173366371
-17.600000000000023,-3113.289329162225
-17.400000000000023,-1793.7641269411088
-17.200000000000024,-2642.893074318583
-17.000000000000025,-3181.782794408769
-16.800000000000026,-680.4658459990119
-16.600000000000026,-1514.6789528040013
-16.400000000000027,-865.1959941504147
-16.200000000000028,-2880.6493040005053
-16.00000000000003,-4768.271021076993
-15.80000000000003,-2479.313690853673
-15.60000000000003,-4448.985542399675
-15.40000000000003,-1796.0624315911145
-15.200000000000031,-6015.04906608553
-15.000000000000032,-2940.6709918307215
-14.800000000000033,-3248.20109434599
-14.600000000000033,-253.5971118223647
-14.400000000000034,-956.9470909730046
-14.200000000000035,-5792.351348486656
-14.000000000000036,7.225049498050339
-13.800000000000036,-3635.6521542690716
-13.600000000000037,413.5880645886414
-13.400000000000038,-35.96168305788751
-13.200000000000038,1632.25184212866
-13.000000000000039,826.0257977671872
-12.80000000000004,-4959.062252012967
-12.60000000000004,-5613.254900791531
-12.400000000000041,-3026.7530819877884
-12.200000000000042,3587.44251438064
-12.000000000000043,-1618.567260496642
-11.800000000000043,-2023.0675210237437
-11.600000000000044,-1523.8508762848012
-11.400000000000045,-3310.279612093277
-11.200000000000045,-2533.69526133221
-11.000000000000046,-602.4568631224738
-10.800000000000047,-484.7693718109583
-10.600000000000048,-4760.876675415875
-10.400000000000048,-1684.3680873722074
-10.200000000000049,-3405.8058998870165
-10.00000000000005,-597.7672935830706
-9.80000000000005,3308.184488014007
-9.600000000000051,755.1221475414466
-9.400000000000052,-4380.707132993948
-9.200000000000053,-1189.8475991998473
-9.000000000000053,-3420.103225479076
-8.800000000000054,-2263.776083230289
-8.600000000000055,1835.6188790427907
-8.400000000000055,1577.6301151751345
-8.200000000000056,1705.3335902346805
-8.000000000000057,2216.293986795864
-7.8000000000000576,14.51651384065866
-7.600000000000058,872.947485747279
-7.400000000000059,1467.1523395890392
-7.20000000000006,355.3396879044345
-7.00000000000006,-853.6149431966335
-6.800000000000061,-3490.1232360344106
-6.600000000000062,3224.9174814736543
-6.4000000000000625,-615.749003857249
-6.200000000000063,-534.7558649806635
-6.000000000000064,90.43355701388026
-5.800000000000065,3693.4537940292835
-5.600000000000065,3470.2889038623066
-5.400000000000066,-1331.6602865940745
-5.200000000000067,-1236.065955643921
-5.0000000000000675,-733.5017944340843
-4.800000000000068,-688.7136469749075
-4.600000000000069,1497.5891875406815
-4.40000000000007,1271.3244149075435
-4.20000000000007,1580.9372420948
-4.000000000000071,-680.6391137701818
-3.8000000000000718,1571.5357587455826
-3.6000000000000725,-447.6852357997113
-3.400000000000073,-1967.9855886444293
-3.200000000000074,963.7846771822398
-3.0000000000000746,2617.900384499961
-2.8000000000000753,-855.6370952986521
-2.600000000000076,-862.6891363706951
-2.4000000000000767,799.549077173099
-2.2000000000000774,2579.606705916288
-2.000000000000078,-2981.7193366483375
-1.8000000000000789,-540.7493615682338
-1.6000000000000796,4648.304102916487
-1.4000000000000803,-1664.201583459729
-1.200000000000081,-3130.3629722342816
-1.0000000000000817,904.0725832593516
-0.8000000000000824,2901.8958746268345
-0.6000000000000831,-900.060596754702
-0.40000000000008384,1810.7920717314244
-0.20000000000008455,1388.1992224806763
-8.526512829121202e-14,600.8093445486865
0.19999999999991402,-1979.4535244686083
0.3999999999999133,-1961.4578517128643
0.5999999999999126,1373.0834185638212
0.7999999999999119,1286.0889512674644
0.9999999999999112,1790.3986488564049
1.1999999999999105,3250.190537241899
1.3999999999999098,108.17605689439738
1.599999999999909,-3812.933438274608
1.7999999999999083,709.9624706780925
1.9999999999999076,183.50724727408382
2.199999999999907,74.17846228897014
2.399999999999906,-784.2464472425507
2.5999999999999055,-2151.1655255087235
2.799999999999905,-1491.1174308773655
2.999999999999904,996.4700018417502
3.1999999999999034,-1442.3744837155534
3.3999999999999027,1533.7658411045397
3.599999999999902,-2752.6555266567448
3.7999999999999012,-3539.2345755546175
3.9999999999999005,-999.9638564431704
4.1999999999999,889.7293927963318
4.399999999999899,-1522.7575808827928
4.599999999999898,-853.5109286812587
4.799999999999898,1391.416916715836
4.999999999999897,-444.79169215549075
5.199999999999896,-3832.6404820949638
5.3999999999998956,2838.750780924681
5.599999999999895,-2756.21810355123
5.799999999999894,1952.3697036026253
5.999999999999893,-2194.6131613785183
6.199999999999893,-1747.4170953819344
6.399999999999892,358.7876098892562
6.599999999999891,-3179.761638268481
6.799999999999891,285.37490232859335
6.99999999999989,-2338.827198510675
7.199999999999889,44.509199342152726
7.3999999999998884,-46.31486716063063
7.599999999999888,-2312.3908535611768
7.799999999999887,371.1885108961296
7.999999999999886,580.9884969606852
8.19999999999989,2997.8321132011606
8.399999999999885,1176.845677564197
8.59999999999988,1102.6482583298146
8.799999999999883,1302.5972872518123
8.999999999999886,237.52579122559075
9.199999999999882,1851.1772384641426
9.399999999999878,635.2523991443734
9.59999999999988,3836.920883692711
9.799999999999883,2759.7064036488264
9.99999999999988,3980.47069680343
10.199999999999875,2558.3608082420556
10.399999999999878,3893.37317044045
10.59999999999988,2529.2800997814893
10.799999999999876,-807.599966523276
10.999999999999872,317.5671185792776
11.199999999999875,3676.7215935812665
11.399999999999878,4257.184965628403
11.599999999999874,1746.0684454674476
11.79999999999987,4042.029547092826
11.999999999999872,2946.094969377613
12.199999999999875,3437.6895713448976
12.39999999999987,2685.1033793953147
12.599999999999866,4522.125086275045
12.79999999999987,1822.16485096569
12.999999999999872,3654.193111262375
13.199999999999868,162.3309550957406
13.399999999999864,5151.835596475288
13.599999999999866,1179.840001683255
13.79999999999987,-1400.5341166513044
13.999999999999865,2431.1317330424945
14.19999999999986,5713.459296823661
14.399999999999864,2706.6322890770207
14.599999999999866,-845.4513847541198
14.799999999999862,319.6635358658805
14.999999999999858,4513.2662284065955
15.19999999999986,3519.173743447868
15.399999999999864,3032.2973358660574
15.59999999999986,4822.439181195618
15.799999999999855,5716.17630507636
15.999999999999858,7018.895769773694
16.19999999999986,3148.1366887876356
16.399999999999856,2848.601380529772
16.599999999999852,2882.143713841602
16.799999999999855,1802.9667787160965
16.999999999999858,5929.306767681344
17.199999999999854,8843.560597856262
17.39999999999985,4297.542366804743
17.599999999999852,8453.600026511664
17.799999999999855,3959.25264980886
17.99999999999985,6702.66350550792
18.199999999999847,7271.142827499985
18.39999999999985,6705.39644308958
18.599999999999852,9248.566305142327
18.799999999999848,5977.120466695369
18.999999999999844,6234.65402655242
19.199999999999847,7489.343345851178
19.39999999999985,7683.437265703944
19.599999999999845,7414.887664300754
19.79999999999984,9786.758650094567
19.999999999999844,10789.68075103338
20.199999999999847,9688.475488297114
20.399999999999842,11032.480234601073
20.599999999999838,8520.770156279976
20.79999999999984,8307.977461859364
20.999999999999844,9727.976838413364
21.19999999999984,12397.948089839561
21.399999999999835,13928.682306698218
21.599999999999838,9346.767776196506
21.79999999999984,10880.28741077132
21.999999999999837,10123.878443916483
22.199999999999832,10807.24113349531
22.399999999999835,12955.515052932109
22.599999999999838,10187.459991221102
22.799999999999834,10165.976318221918
22.99999999999983,15268.051978263651
23.199999999999832,13375.720294525445
23.399999999999835,10069.626816218068
23.59999999999983,11421.795074152502
23.799999999999827,14974.97488623082
